ID,Kidhome,Income,Teenhome,Recency,Complain,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,join_date,YOB,education,martial_status
7233,0,69209.00000000,0,4,0,5,3,6,4,496,32,849,229,48,128,3,0,0,0,0,0,1,2020-09-17,1972-01-01,Graduation,Married
6950,1,49572.00000000,1,25,0,2,0,3,7,35,1,16,0,1,1,3,0,0,0,0,0,1,2020-12-15,1958-01-01,Master,Married
10609,0,42769.00000000,1,15,0,1,1,4,4,71,0,13,3,1,0,3,0,0,0,0,0,1,2020-10-12,1962-01-01,PhD,Married
7873,1,63516.00000000,1,30,0,4,1,7,5,141,11,114,15,14,5,3,0,0,0,0,0,1,2020-07-06,1973-01-01,PhD,Together
1100,1,41275.00000000,2,33,0,3,1,3,5,24,4,22,0,2,9,3,0,0,0,0,0,1,2020-03-24,1960-01-01,Master,Together
1818,1,29732.00000000,0,23,0,2,0,2,9,25,0,8,0,1,4,3,0,0,0,0,0,1,2020-03-25,1971-01-01,PhD,Together
9790,0,78499.00000000,0,12,0,11,3,4,4,912,72,170,47,36,97,3,0,0,0,0,0,1,2020-11-23,1957-01-01,Graduation,Single
5136,0,65333.00000000,1,58,0,9,4,8,6,654,7,92,0,15,30,3,0,0,0,0,0,1,2020-01-17,1973-01-01,Graduation,Single
9727,0,23539.00000000,0,13,0,2,0,4,6,4,24,11,16,1,25,3,0,0,0,0,0,1,2020-02-28,1957-01-01,Graduation,Married
7124,1,36997.00000000,1,72,0,2,1,4,5,43,4,12,8,0,27,3,0,0,0,0,0,1,2020-02-01,1968-01-01,Graduation,Divorced
9216,1,35788.00000000,1,34,0,2,0,3,6,23,2,11,3,1,4,3,0,0,0,0,0,1,2020-01-23,1971-01-01,Graduation,Married
10432,1,19346.00000000,0,26,0,1,0,3,8,2,0,9,3,6,2,3,0,0,0,0,0,1,2020-01-30,1974-01-01,Graduation,Divorced
2715,1,29435.00000000,1,11,0,3,2,2,9,70,3,37,4,2,64,3,0,0,0,0,0,1,2020-08-06,1966-01-01,Master,Divorced
2948,0,62637.00000000,1,76,0,2,2,5,2,104,12,48,4,12,5,3,0,0,0,0,0,1,2020-03-01,1954-01-01,Master,Divorced
4973,1,20587.00000000,0,39,0,1,1,2,7,2,3,6,4,1,9,3,0,0,0,0,0,1,2020-05-11,1970-01-01,Graduation,Single
271,1,40590.00000000,1,30,0,3,4,3,6,154,0,50,6,11,37,3,0,0,0,0,0,1,2020-10-02,1969-01-01,Graduation,Widow
10127,0,58692.00000000,1,21,0,8,2,4,7,301,11,61,4,7,11,3,0,0,0,0,0,1,2020-04-06,1965-01-01,Graduation,Married
4369,0,65487.00000000,0,48,0,3,5,6,2,240,67,500,199,0,163,3,0,0,0,0,0,1,2020-01-10,1957-01-01,Master,Absurd
642,1,16005.00000000,0,69,0,2,1,2,8,1,3,2,20,30,47,3,0,0,0,0,0,1,2020-08-14,1980-01-01,Basic,Married
