ID,join_date
4141,2013-08-21
7446,2013-09-09
6177,2013-05-08
4855,2013-06-06
1994,2013-11-15
2125,2013-11-15
8180,2013-11-15
6565,2013-03-28
5376,2013-01-06
1409,2013-03-18
7892,2013-01-02
2404,2013-05-27
5255,2013-02-20
9422,2013-05-31
1966,2013-11-22
3033,2013-05-11
8755,2013-02-20
10738,2013-08-29
4339,2013-12-31
10755,2013-09-02
2968,2013-02-01
8601,2013-04-29
503,2013-03-12
7281,2013-11-05
2139,2013-10-02
7286,2013-05-24
1331,2013-01-02
9381,2013-06-12
10383,2013-04-02
8557,2013-06-17
6853,2013-07-04
1012,2013-02-18
6518,2013-06-11
4137,2013-12-06
8082,2013-05-21
4477,2013-09-27
1357,2013-04-08
6312,2013-03-17
8132,2013-04-05
10401,2013-09-04
1618,2013-01-02
2261,2013-06-23
5346,2013-07-03
4119,2013-05-11
5268,2013-08-11
273,2013-07-16
5798,2013-11-23
11100,2013-04-11
4646,2013-12-01
3037,2013-06-20
1473,2013-07-23
4518,2013-04-20
9370,2013-05-17
8373,2013-12-10
7533,2013-09-24
2683,2013-02-02
5077,2013-11-02
999,2013-01-02
2286,2013-09-10
367,2013-02-19
5234,2013-07-11
9862,2013-11-14
9805,2013-06-20
8442,2013-09-04
7386,2013-04-22
7215,2013-03-12
1491,2013-02-18
11071,2013-04-21
8268,2013-07-11
8026,2013-09-30
433,2013-03-10
1295,2013-08-11
5290,2013-08-14
1685,2013-03-17
9579,2013-07-07
1461,2013-07-28
11084,2013-11-14
8690,2013-04-19
2937,2013-08-28
9701,2013-03-19
3120,2013-08-28
10240,2013-02-19
3025,2013-07-08
9283,2013-09-12
9970,2013-10-17
2730,2013-08-20
2795,2013-07-01
10095,2013-05-01
4370,2013-11-13
10573,2013-11-18
3712,2013-08-28
6637,2013-11-02
6460,2013-07-13
6935,2013-12-01
10562,2013-09-28
3934,2013-08-02
6982,2013-03-19
6431,2013-02-23
5602,2013-05-17
7829,2013-09-26
1324,2013-05-30
326,2013-02-18
7224,2013-12-29
9938,2013-09-19
6422,2013-01-17
10424,2013-12-09
8727,2013-10-14
1030,2013-07-17
5176,2013-12-08
5552,2013-05-13
2677,2013-03-31
2877,2013-01-21
0,2013-05-04
6274,2013-11-15
1377,2013-08-31
2075,2013-11-14
9076,2013-01-05
4653,2013-03-26
6798,2013-03-20
5341,2013-01-05
1606,2013-05-15
3233,2013-03-23
89,2013-12-09
2936,2013-12-04
9449,2013-10-04
7297,2013-12-26
313,2013-10-28
10735,2013-07-31
9529,2013-11-28
2176,2013-05-20
9265,2013-01-09
10236,2013-09-16
6340,2013-10-27
10089,2013-04-05
2661,2013-06-04
3153,2013-12-08
1184,2013-05-22
2387,2013-02-03
6690,2013-03-14
291,2013-06-19
4557,2013-10-04
10967,2013-02-06
2304,2013-09-16
3445,2013-01-17
3762,2013-04-02
4391,2013-04-21
4669,2013-02-11
9974,2013-07-12
10983,2013-01-29
8148,2013-01-08
4697,2013-06-13
9262,2013-07-04
7254,2013-12-27
10451,2013-03-12
2874,2013-03-07
9738,2013-01-13
7119,2013-01-12
5596,2013-10-12
9491,2013-12-27
9274,2013-03-28
4440,2013-09-10
1379,2013-04-27
2826,2013-10-28
2437,2013-06-03
6320,2013-02-06
3050,2013-12-17
2392,2013-07-29
113,2013-07-16
2863,2013-08-23
1802,2013-01-17
520,2013-07-01
9750,2013-02-07
2607,2013-01-11
7214,2013-07-05
5835,2013-07-02
3896,2013-11-07
10350,2013-05-09
7786,2013-02-13
2861,2013-04-16
663,2013-09-11
10675,2013-04-03
2521,2013-01-10
9592,2013-06-30
9560,2013-03-03
1150,2013-09-26
11191,2013-12-07
6245,2013-06-13
8234,2013-08-15
1411,2013-11-10
8553,2013-06-23
2579,2013-12-17
175,2013-01-10
9185,2013-10-28
6201,2013-11-29
2061,2013-05-11
6142,2013-08-20
4107,2013-10-08
5125,2013-05-17
4432,2013-03-16
2557,2013-08-29
1519,2013-06-22
1726,2013-03-18
1729,2013-10-02
1517,2013-06-14
2098,2013-01-08
9543,2013-11-14
948,2013-05-15
6720,2013-10-16
9799,2013-05-08
5642,2013-12-09
455,2013-04-18
3428,2013-10-06
2488,2013-03-23
7617,2013-08-15
615,2013-03-11
2552,2013-10-22
5049,2013-06-06
7030,2013-03-30
3523,2013-01-23
6504,2013-11-20
4216,2013-02-22
8581,2013-03-05
1361,2013-06-04
6932,2013-04-13
7284,2013-12-04
3767,2013-04-25
3725,2013-05-09
238,2013-01-23
6694,2013-11-25
9347,2013-06-21
9699,2013-12-21
10664,2013-09-07
5455,2013-08-22
456,2013-02-07
5012,2013-07-04
7495,2013-12-20
5029,2013-08-06
10364,2013-07-13
5954,2013-10-09
1137,2013-12-29
2541,2013-06-09
1142,2013-12-22
2276,2013-05-02
2807,2013-02-16
6471,2013-10-17
6131,2013-12-01
3225,2013-04-01
7851,2013-09-22
7999,2013-04-23
2021,2013-03-27
1581,2013-10-10
6619,2013-01-02
178,2013-02-18
5300,2013-12-30
5154,2013-08-11
1676,2013-10-30
5172,2013-11-14
5562,2013-06-26
10965,2013-02-22
9426,2013-01-12
6605,2013-11-27
3136,2013-04-13
11088,2013-04-21
466,2013-04-03
10623,2013-11-15
10160,2013-06-21
10584,2013-12-02
6071,2013-07-19
3386,2013-06-21
9925,2013-05-25
4320,2013-03-28
5389,2013-10-20
182,2013-05-11
203,2013-04-14
11025,2013-02-03
10203,2013-06-30
4607,2013-08-23
9214,2013-08-16
4322,2013-11-27
3281,2013-11-03
702,2013-02-15
2004,2013-09-18
4437,2013-04-24
8724,2013-06-17
10741,2013-04-11
11096,2013-08-08
304,2013-12-23
3665,2013-11-07
5547,2013-08-07
7822,2013-06-04
4368,2013-12-03
9460,2013-04-18
9504,2013-11-06
448,2013-03-01
8314,2013-04-05
8420,2013-08-03
3174,2013-05-22
7685,2013-09-09
3179,2013-06-16
9780,2013-06-25
10232,2013-11-05
891,2013-09-07
10381,2013-07-05
8181,2013-09-13
1029,2013-08-01
7369,2013-10-02
2574,2013-01-31
1160,2013-08-23
10242,2013-09-16
5253,2013-07-09
5314,2013-03-18
5081,2013-10-20
5123,2013-04-15
5057,2013-09-14
4179,2013-08-20
4501,2013-11-10
3075,2013-09-11
4992,2013-09-19
7444,2013-10-19
6919,2013-06-04
10277,2013-02-21
7972,2013-09-17
1177,2013-01-26
8477,2013-03-11
7930,2013-08-19
4587,2013-07-18
6222,2013-10-28
3083,2013-07-26
8953,2013-05-06
1503,2013-06-03
8650,2013-03-18
2782,2013-07-11
6941,2013-07-14
10708,2013-12-28
6583,2013-06-03
3641,2013-01-20
10156,2013-06-03
10727,2013-11-19
8923,2013-04-18
6945,2013-06-04
944,2013-01-08
701,2013-11-06
2942,2013-05-07
1173,2013-03-10
4381,2013-08-18
4611,2013-01-21
3376,2013-12-13
10928,2013-09-16
3867,2013-08-31
6940,2013-10-21
7093,2013-11-14
5084,2013-12-25
8162,2013-01-01
8754,2013-05-16
1987,2013-09-25
11007,2013-05-09
7426,2013-11-07
9153,2013-07-29
10379,2013-11-08
3197,2013-12-16
8779,2013-06-16
9596,2013-12-23
2891,2013-10-18
75,2013-07-25
10120,2013-10-24
6327,2013-12-19
10142,2013-03-07
7279,2013-09-30
143,2013-08-25
450,2013-07-12
9316,2013-11-02
6379,2013-05-29
9239,2013-07-26
2868,2013-04-08
10888,2013-11-03
9977,2013-09-17
968,2013-12-26
6988,2013-01-10
6991,2013-04-10
3336,2013-11-21
4301,2013-01-10
1940,2013-07-12
1388,2013-02-20
1044,2013-05-14
6969,2013-08-07
1715,2013-02-11
10159,2013-03-31
4990,2013-05-02
10936,2013-02-13
6086,2013-11-23
11171,2013-10-11
