ID,martial_status,Kidhome
5324,Married,1
6177,Married,1
1994,Married,1
9736,Married,1
5376,Married,1
2404,Married,1
9422,Married,1
10755,Married,1
503,Married,1
2139,Married,1
6566,Married,1
9381,Married,1
8082,Married,1
10629,Married,1
8132,Married,1
2261,Married,1
5346,Married,1
5268,Married,1
273,Married,1
8996,Married,2
2230,Married,1
7516,Married,1
7533,Married,1
9215,Married,1
367,Married,1
8442,Married,2
3381,Married,1
5290,Married,1
9579,Married,2
10837,Married,1
5885,Married,2
8182,Married,1
6460,Married,1
1349,Married,2
10854,Married,1
3559,Married,1
10796,Married,1
3518,Married,1
6431,Married,1
1324,Married,1
326,Married,1
7224,Married,1
6927,Married,1
1584,Married,1
9076,Married,1
89,Married,1
7411,Married,1
2176,Married,1
4200,Married,1
9396,Married,1
6690,Married,1
9703,Married,1
6336,Married,1
4669,Married,1
8962,Married,1
9974,Married,1
10812,Married,1
2826,Married,2
3050,Married,1
2392,Married,1
113,Married,1
520,Married,1
3896,Married,1
10350,Married,2
2521,Married,1
4099,Married,1
8553,Married,1
11030,Married,1
175,Married,1
2958,Married,2
933,Married,1
5837,Married,1
5680,Married,1
10313,Married,1
2098,Married,2
9543,Married,1
3310,Married,2
7414,Married,1
194,Married,1
8581,Married,1
5929,Married,1
3129,Married,1
7284,Married,1
8746,Married,1
4324,Married,1
5455,Married,1
456,Married,1
5012,Married,1
2541,Married,1
6131,Married,1
4148,Married,1
3225,Married,1
2815,Married,1
1581,Married,1
6619,Married,1
10581,Married,1
5300,Married,1
3436,Married,1
5140,Married,1
11025,Married,1
35,Married,1
2258,Married,1
3281,Married,1
4437,Married,1
8541,Married,1
4368,Married,1
9671,Married,1
2256,Married,1
7685,Married,1
3526,Married,1
7369,Married,1
8159,Married,1
1160,Married,1
5966,Married,1
7444,Married,1
6919,Married,1
6682,Married,1
6222,Married,2
3083,Married,1
3641,Married,1
10727,Married,1
4381,Married,1
7093,Married,1
11007,Married,1
7426,Married,1
6961,Married,2
8779,Married,1
10196,Married,2
6988,Married,1
4301,Married,1
1940,Married,1
4329,Married,1
4692,Married,1
11171,Married,2
9384,Married,1
6516,Married,1
7235,Married,1
10470,Married,1
10270,Married,1
2371,Married,1
4290,Married,1
4211,Married,1
10846,Married,1
11075,Married,1
8523,Married,1
236,Married,1
2350,Married,1
2986,Married,1
7034,Married,1
1143,Married,1
9499,Married,1
10402,Married,1
11121,Married,1
10262,Married,2
425,Married,2
10602,Married,1
8017,Married,1
8086,Married,1
1928,Married,1
7037,Married,1
1048,Married,1
4988,Married,1
5692,Married,1
10031,Married,1
1523,Married,1
5633,Married,1
7011,Married,1
2620,Married,1
10995,Married,1
1600,Married,2
3308,Married,1
9850,Married,1
1212,Married,1
9984,Married,1
8975,Married,1
5313,Married,1
3158,Married,1
5287,Married,1
4240,Married,1
5263,Married,1
6019,Married,1
6730,Married,1
5731,Married,1
4491,Married,1
4415,Married,1
3081,Married,1
247,Married,1
6466,Married,1
1545,Married,1
4444,Married,1
4741,Married,1
246,Married,1
3885,Married,1
4713,Married,1
5961,Married,1
10542,Married,1
523,Married,1
967,Married,1
10660,Married,1
5907,Married,1
10466,Married,1
2245,Married,1
6606,Married,1
837,Married,1
3439,Married,1
1176,Married,1
938,Married,1
7736,Married,1
833,Married,1
843,Married,1
6918,Married,1
1921,Married,2
6653,Married,1
5493,Married,1
8147,Married,1
5207,Married,1
635,Married,1
2296,Married,1
10637,Married,1
679,Married,1
2516,Married,1
7628,Married,1
8789,Married,1
4937,Married,1
1920,Married,1
6398,Married,1
839,Married,1
4832,Married,1
5621,Married,1
2535,Married,1
873,Married,1
7912,Married,1
1384,Married,1
3231,Married,1
6770,Married,1
793,Married,1
8216,Married,1
2587,Married,1
10490,Married,1
4094,Married,1
6613,Married,1
10827,Married,1
9121,Married,1
361,Married,1
5654,Married,2
4098,Married,1
2428,Married,1
8254,Married,1
2836,Married,1
7152,Married,1
922,Married,1
8588,Married,1
3220,Married,1
1183,Married,1
5074,Married,1
7196,Married,1
9672,Married,1
4864,Married,1
5868,Married,1
3478,Married,1
2005,Married,1
3340,Married,1
3594,Married,1
851,Married,1
6310,Married,1
10380,Married,1
10795,Married,1
2408,Married,1
3745,Married,1
2217,Married,1
7791,Married,1
5424,Married,1
9530,Married,1
10699,Married,1
10478,Married,1
1081,Married,1
9916,Married,1
8135,Married,1
8685,Married,1
5892,Married,1
7022,Married,1
7943,Married,1
11092,Married,1
5062,Married,1
6215,Married,1
10099,Married,1
9668,Married,1
3783,Married,1
10785,Married,1
8079,Married,1
7327,Married,1
5299,Married,1
1170,Married,1
4065,Married,1
8230,Married,1
2156,Married,1
7788,Married,1
7947,Married,1
10790,Married,1
3565,Married,1
8799,Married,1
7732,Married,1
7629,Married,1
6742,Married,1
1064,Married,1
3798,Married,1
5247,Married,1
5883,Married,1
4328,Married,1
10691,Married,1
8397,Married,1
78,Married,1
10521,Married,1
9931,Married,1
3254,Married,1
8341,Married,1
7505,Married,1
2961,Married,1
5790,Married,1
10789,Married,1
5623,Married,1
3112,Married,1
1518,Married,1
5734,Married,1
1458,Married,1
7007,Married,2
2478,Married,1
5015,Married,1
6355,Married,1
8360,Married,1
9289,Married,1
3032,Married,1
10821,Married,1
898,Married,1
5370,Married,1
4023,Married,1
4102,Married,1
6214,Married,1
4954,Married,1
9423,Married,1
8625,Married,1
983,Married,1
4786,Married,1
6568,Married,1
8416,Married,1
5454,Married,1
4095,Married,1
626,Married,1
10500,Married,1
5517,Married,1
6958,Married,1
5079,Married,1
4643,Married,1
11031,Married,1
1103,Married,1
1055,Married,1
1241,Married,1
1407,Married,1
87,Married,1
642,Married,1
9216,Married,1
6950,Married,1
9481,Married,1
8933,Married,1
1321,Married,1
1646,Married,1
2632,Married,1
9014,Married,1
1448,Married,1
4478,Married,1
10084,Married,2
8372,Married,1
9405,Married,1
