ID,martial_status,Teenhome
9736,Married,1
6565,Married,1
1993,Married,1
4047,Married,1
2404,Married,1
4339,Married,1
8601,Married,1
6566,Married,1
9381,Married,1
8375,Married,1
6312,Married,1
8132,Married,1
5268,Married,1
273,Married,1
8996,Married,1
7533,Married,1
2683,Married,2
3381,Married,1
8268,Married,1
8026,Married,1
1295,Married,1
5290,Married,1
9579,Married,1
9949,Married,2
5885,Married,1
3830,Married,2
7987,Married,1
8475,Married,1
8717,Married,1
10854,Married,1
7698,Married,1
3934,Married,1
6431,Married,1
326,Married,1
7224,Married,1
868,Married,1
6927,Married,1
3233,Married,1
6439,Married,1
7411,Married,1
9265,Married,1
6690,Married,1
9703,Married,1
6336,Married,1
8962,Married,1
4440,Married,1
2826,Married,1
3050,Married,1
2392,Married,1
113,Married,1
1802,Married,1
10350,Married,1
10675,Married,1
9707,Married,1
8553,Married,1
2579,Married,1
2061,Married,1
5837,Married,1
10313,Married,1
3310,Married,1
7683,Married,1
7414,Married,1
194,Married,1
9973,Married,2
10882,Married,1
7030,Married,1
8581,Married,1
7284,Married,2
3767,Married,1
6694,Married,1
7495,Married,1
1142,Married,1
2807,Married,1
6131,Married,1
6233,Married,1
4148,Married,2
7540,Married,1
1992,Married,1
9697,Married,2
2021,Married,1
6619,Married,1
178,Married,1
5512,Married,1
8970,Married,1
1676,Married,1
5562,Married,1
10584,Married,1
5389,Married,2
11025,Married,1
3281,Married,1
4437,Married,1
9671,Married,1
2256,Married,1
10681,Married,1
6818,Married,1
3526,Married,1
2574,Married,1
8159,Married,1
1160,Married,1
5966,Married,1
5057,Married,1
7444,Married,1
895,Married,2
2457,Married,1
6222,Married,1
3083,Married,1
10862,Married,1
2782,Married,1
5156,Married,1
944,Married,1
701,Married,1
4381,Married,1
4679,Married,1
6661,Married,1
7426,Married,1
9153,Married,1
3197,Married,1
4673,Married,1
9239,Married,2
5114,Married,1
7212,Married,1
11171,Married,1
9384,Married,1
7072,Married,1
5909,Married,1
6488,Married,1
221,Married,1
20,Married,1
8786,Married,1
10582,Married,1
2371,Married,1
11075,Married,1
6722,Married,1
310,Married,1
236,Married,1
4599,Married,2
7326,Married,1
7352,Married,1
2350,Married,1
3732,Married,1
2986,Married,1
3900,Married,1
9499,Married,2
10402,Married,1
9904,Married,1
368,Married,1
9477,Married,1
5794,Married,1
4877,Married,1
9653,Married,1
8017,Married,1
8086,Married,1
4988,Married,1
10673,Married,1
1204,Married,1
1328,Married,1
10031,Married,1
5748,Married,1
1523,Married,1
2456,Married,1
5633,Married,1
1600,Married,1
3308,Married,1
6872,Married,1
9984,Married,1
6374,Married,1
8952,Married,1
8975,Married,1
5313,Married,1
8911,Married,1
5863,Married,1
3717,Married,1
6730,Married,1
4754,Married,1
4002,Married,1
966,Married,1
3846,Married,1
4491,Married,1
10766,Married,1
4415,Married,1
9197,Married,1
6295,Married,1
6466,Married,1
6001,Married,1
10552,Married,1
6271,Married,1
246,Married,1
2320,Married,1
2308,Married,1
3412,Married,1
10542,Married,1
11166,Married,1
7755,Married,1
10710,Married,1
2613,Married,1
967,Married,1
640,Married,1
4252,Married,1
6218,Married,1
5922,Married,1
3598,Married,1
6116,Married,1
10660,Married,1
1604,Married,1
5907,Married,1
10669,Married,1
8387,Married,1
10466,Married,1
5231,Married,2
2245,Married,1
2246,Married,1
837,Married,1
9500,Married,1
3602,Married,1
1118,Married,1
3439,Married,1
938,Married,1
257,Married,1
8210,Married,1
833,Married,1
1921,Married,1
10833,Married,1
8534,Married,2
5153,Married,1
961,Married,1
6653,Married,1
9094,Married,1
810,Married,1
5493,Married,1
8147,Married,1
5207,Married,1
5429,Married,1
635,Married,1
10319,Married,1
10637,Married,2
907,Married,1
679,Married,1
339,Married,1
2516,Married,1
4603,Married,1
4937,Married,1
1920,Married,1
9212,Married,1
5621,Married,1
1945,Married,1
11039,Married,1
5510,Married,1
873,Married,1
10390,Married,1
5232,Married,1
10476,Married,1
4743,Married,1
8216,Married,1
4405,Married,2
10490,Married,1
4094,Married,1
9958,Married,1
2534,Married,1
10827,Married,1
8402,Married,1
8783,Married,1
618,Married,1
361,Married,1
5654,Married,1
4098,Married,1
922,Married,1
8588,Married,1
1183,Married,1
5221,Married,1
4690,Married,1
7196,Married,1
9672,Married,1
4070,Married,2
25,Married,1
4220,Married,1
9559,Married,1
9743,Married,1
3478,Married,1
3594,Married,1
851,Married,1
9451,Married,1
1490,Married,1
2408,Married,1
6050,Married,1
3463,Married,1
1079,Married,1
2217,Married,1
8091,Married,1
5462,Married,1
7791,Married,1
879,Married,2
10478,Married,1
1081,Married,2
9916,Married,1
5272,Married,1
11092,Married,1
5062,Married,1
8969,Married,1
4480,Married,1
9971,Married,1
6215,Married,1
3011,Married,1
3298,Married,1
7408,Married,1
3783,Married,1
3427,Married,1
10785,Married,1
5177,Married,1
2295,Married,1
6912,Married,2
7327,Married,1
4127,Married,1
3389,Married,1
2156,Married,1
10323,Married,1
7947,Married,1
8852,Married,1
3565,Married,1
8070,Married,1
7832,Married,1
7629,Married,1
3498,Married,1
3828,Married,1
10556,Married,1
7807,Married,1
3798,Married,1
5247,Married,1
2118,Married,1
2797,Married,1
9167,Married,1
5534,Married,1
2694,Married,1
2870,Married,1
10691,Married,1
8397,Married,1
