ID,join_date,YOB,education,martial_status,Income,Kidhome,Teenhome,Recency,Complain,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response
5524,2012-09-04,1957-01-01,Graduation,Single,58138.0,0,0,58,0,8,10,4,7,635,88,546,172,88,88,3,0,0,0,0,0,1
2174,2014-03-08,1954-01-01,Graduation,Single,46344.0,1,1,38,0,1,1,2,5,11,1,6,2,1,6,2,0,0,0,0,0,0
4141,2013-08-21,1965-01-01,Graduation,Together,71613.0,0,0,26,0,8,2,10,4,426,49,127,111,21,42,1,0,0,0,0,0,0
6182,2014-02-10,1984-01-01,Graduation,Together,26646.0,1,0,26,0,2,0,4,6,11,4,20,10,3,5,2,0,0,0,0,0,0
5324,2014-01-19,1981-01-01,PhD,Married,58293.0,1,0,94,0,5,3,6,5,173,43,118,46,27,15,5,0,0,0,0,0,0
7446,2013-09-09,1967-01-01,Master,Together,62513.0,0,1,16,0,6,4,10,6,520,42,98,0,42,14,2,0,0,0,0,0,0
965,2012-11-13,1971-01-01,Graduation,Divorced,55635.0,0,1,34,0,7,3,7,6,235,65,164,50,49,27,4,0,0,0,0,0,0
6177,2013-05-08,1985-01-01,PhD,Married,33454.0,1,0,32,0,4,0,4,8,76,10,56,3,1,23,2,0,0,0,0,0,0
4855,2013-06-06,1974-01-01,PhD,Together,30351.0,1,0,19,0,3,0,2,9,14,0,24,3,3,2,1,0,0,0,0,0,1
5899,2014-03-13,1950-01-01,PhD,Together,5648.0,1,1,68,0,1,0,0,20,28,0,6,1,1,13,1,0,0,1,0,0,0
1994,2013-11-15,1983-01-01,Graduation,Married,0.0,1,0,11,0,1,0,2,7,5,5,6,0,2,1,1,0,0,0,0,0,0
387,2012-11-13,1976-01-01,Basic,Married,7500.0,0,0,59,0,2,0,3,8,6,16,11,11,1,16,1,0,0,0,0,0,0
2125,2013-11-15,1959-01-01,Graduation,Divorced,63033.0,0,0,82,0,3,4,8,2,194,61,480,225,112,30,1,0,0,0,0,0,0
8180,2013-11-15,1952-01-01,Master,Divorced,59354.0,1,1,53,0,6,1,5,6,233,2,53,3,5,14,3,0,0,0,0,0,0
2569,2012-10-10,1987-01-01,Graduation,Married,17323.0,0,0,38,0,1,0,3,8,3,14,17,6,1,5,1,0,0,0,0,0,0
2114,2012-11-24,1946-01-01,PhD,Single,82800.0,0,0,23,0,7,6,12,3,1006,22,115,59,68,45,1,1,0,0,0,1,1
9736,2012-12-24,1980-01-01,Graduation,Married,41850.0,1,1,51,0,3,0,3,8,53,5,19,2,13,4,3,0,0,0,0,0,0
4939,2012-08-31,1946-01-01,Graduation,Together,37760.0,0,0,20,0,4,1,6,7,84,5,38,150,12,28,2,0,0,0,0,0,0
6565,2013-03-28,1949-01-01,Master,Married,76995.0,0,1,91,0,11,4,9,5,1012,80,498,0,16,176,2,1,0,0,0,0,0
2278,2012-11-03,1985-01-01,2n Cycle,Single,33812.0,1,0,86,0,2,1,3,6,4,17,19,30,24,39,2,0,0,0,0,0,0
